col_name	data_type	comment
order_item_non_verification_un_hold_date_key	int                 	                    
order_item_approve_max_date_time	timestamp           	                    
order_item_approve_max_date_key	int                 	                    
order_item_approve_max_time_key	int                 	                    
order_item_date     	timestamp           	                    
order_item_created_at	timestamp           	                    
order_shipping_address_pincode_key	bigint              	                    
order_item_unit_approve_promise_bdays	int                 	                    
order_item_unit_approve_promise_cdays	int                 	                    
order_item_rts_due_date_key	int                 	                    
order_item_unit_rts_breach	string              	                    
account_id          	string              	                    
order_item_product_id	string              	                    
order_item_seller_id	string              	                    
order_date_time     	timestamp           	                    
order_sales_channel_generic	string              	                    
order_item_promise_tier	string              	                    
order_last_payment_gateway	string              	                    
order_last_payment_status	string              	                    
order_last_payment_method	string              	                    
order_all_payment_methods	string              	                    
order_payment_updated_date_time	string              	                    
order_payment_type  	string              	                    
flipkart_first_flag 	string              	                    
